N;T1;T2;T4
256;0.009169;0.027266;0.065827
1024;0.037251;0.047361;0.099547
4096;0.039932;0.056451;0.108640
16384;0.582222;0.978121;1.667461
65536;2.514217;2.451743;3.499695
